Site,Type,Industry,Skill,Designation,Cost
BPM,Growth,BPO,Intercompany,Junior Manager,144940.4812
BLR,Growth,BPO,PC FP&A,Junior Manager,218210.6143
BLR,Growth,BPO,PC FP&A,Junior Manager,442546.1448
BLR,Growth,BPO,PC FP&A,Junior Manager,118803.7196
BLR,Growth,BPO,PC FP&A,Junior Manager,160323.8468
BLR,Growth,BPO,PC FP&A,Junior Manager,417068.5994
BLR,Growth,BPO,PC FP&A,Junior Manager,143880.1494
BPM,Growth,BPO,Reconciliation Management,Junior Manager,158851.6088
BLR,Growth,Finance,Reconciliation Management,Junior Manager,207192.1251
BLR,Growth,Finance,Reconciliation Management,Junior Manager,122997.8368
BPM,Growth,BPO,Reinsurance Accounting,Junior Manager,586272.8075
BLR,Growth,BPO,SEC reporting ,Junior Manager,297534.5664
BLR,Growth,BPO,SEC reporting ,Junior Manager,397916.203
BLR,Growth,BPO,SEC reporting ,Junior Manager,520856.2242
NCR,Growth,Finance,SEC reporting ,Junior Manager,384475.759
NCR,Growth,Finance,SEC reporting ,Junior Manager,343392.4354
BPM,Growth,BPO,Taxation,Junior Manager,94379.55842
BLR,Growth,BPO,US GAAP & STAT Reporting,Junior Manager,445165.2407
BLR,Growth,BPO,US GAAP & STAT Reporting,Junior Manager,396317.7201
BLR,Growth,BPO,US GAAP & STAT Reporting,Junior Manager,437011.972
BLR,Growth,BPO,US GAAP & STAT Reporting,Junior Manager,14685.10373
BLR,Growth,BPO,US GAAP & STAT Reporting,Junior Manager,493187.1311
BPM,Growth,BPO,US GAAP and STAT Reporting,Junior Manager,273936.7518
BPM,Growth,BPO,US GAAP and STAT Reporting,Junior Manager,457286.4223
BPM,Growth,BPO,US GAAP and STAT Reporting,Junior Manager,411286.7736
ITO,Back Fill,IT,Avaya,Lead Associate,250638.6774
HYD,Growth,IT,Avaya Telecom,Lead Associate,172014.9701
ITO,Growth,IT,End Point Security,Lead Associate,486315.4064
ITO,Back Fill,IT,End Point Security,Lead Associate,284143.2302
ITO,Backfill,IT,Incident Manager,Lead Associate,335084.4915
HYD,Growth,IT,Incident Manager,Lead Associate,177790.3487
HYD,Growth,IT,Linux Admin,Lead Associate,172864.0208
ITO,Growth,IT,Mobile App Developer,Lead Associate,44730.0171
ITO,Growth,IT,Mobile App Developer,Lead Associate,95941.71521
ITO,Growth,IT,Mobile Device Mgt,Lead Associate,112083.1855
ITO,Growth,IT,Network Security,Lead Associate,188520.2982
ITO,Ramp Up,IT,Oracle Apps DBA,Lead Associate,252685.4724
ITO,Ramp Up,IT,Oracle Apps DBA,Lead Associate,475293.0083
ITO,Backfill,IT,Oracle Apps DBA + PT,Lead Associate,660614.5626
HYD,Growth,IT,Oracle DBA,Lead Associate,379620.0139
HYD,Growth,IT,Oracle DBA,Lead Associate,234759.3643
HYD,Growth,IT,Oracle DBA,Lead Associate,217872.2351
HYD,Growth,IT,Oracle DBA,Lead Associate,124484.8252
ITO,Backfill,IT,Oracle DBA,Lead Associate,451813.7258
ITO,Back Fill,IT,Oracle DBA,Lead Associate,128762.9573
ITO,Ramp Up,IT,Oracle DBA,Lead Associate,216086.2568
ITO,Backfill,IT,OS 365,Lead Associate,428459.4283
ITO,Back Fill,IT,PMO,Lead Associate,555470.9619
HYD,Backfill,Hyderabad,Security Application,Lead Associate,32866.30289
HYD,Backfill,IT,Service Desk,Lead Associate,1618.906821
ITO,Backfill,IT,Service Desk,Lead Associate,224688.2573
ITO,Growth,IT,Service Desk,Lead Associate,67778.29158
ITO,Backfill,IT,Service Desk,Lead Associate,301307.7604
ITO,Backfill,IT,Service Desk,Lead Associate,284417.3577
ITO,Growth,IT,Service Desk,Lead Associate,255031.4604
NCR,Backfill,Bangalore,Service Now,Lead Associate,555375.5247
NCR,Growth,IT,Service Now,Lead Associate,380982.2617
ITO,Backfill,IT,Service Now,Lead Associate,265046.4797
ITO,Back Fill,IT,Service Now,Lead Associate,656560.1284
HYD,Growth,IT,Service Now Admin,Lead Associate,585796.9273
HYD,Backfill,IT,Share Point Admin,Lead Associate,87196.77572
HYD,Backfill,IT,SQL DBA,Lead Associate,150517.1016
HYD,Backfill,IT,"SQL, IVR",Lead Associate,37975.12567
ITO,Back Fill,IT,Sybase DBA,Lead Associate,370735.1886
HYD,Growth,IT,Teradata DBA,Lead Associate,433544.7707
HYD,Growth,IT,Wed Designer,Lead Associate,178204.3925
HYD,Growth,IT,ADM + Healthcare,Lead Consultant,546578.2083
NCR,Growth,IT,ASP DOT NET,Lead Consultant,289191.2467
NCR,Growth,IT,asp.net,Lead Consultant,271338.8748
ITO,Growth,IT,asp.net,Lead Consultant,249308.0934
BLR,Growth,Engineeing,Autopipe,Lead Consultant,366793.2719
ITO,Growth,IT,BA,Lead Consultant,458837.3343
NCR,Growth,IT,BA (P & C),Lead Consultant,352527.8455
HYD,Growth,IT,Cognos TM 1,Lead Consultant,512188.6892
NCR,Growth,IT,Cognos TM1,Lead Consultant,702135.8975
HYD,Backfill,Hyderabad,Core DBA + PT,Lead Consultant,195335.3698
ITO,Growth,IT,DB2 DBA,Lead Consultant,340234.2315
HYD,Growth,IT,DB2 DBA LUW,Lead Consultant,947820.1784
HYD,Growth,IT,DB2/DBA Z/Os,Lead Consultant,155262.2082
ITO,Growth,IT,ETL Architect,Lead Consultant,317102.2212
HYD,Growth,Hyderabad,Financials,Lead Consultant,179519.9353
NCR,Growth,IT,Financials,Lead Consultant,523584.4119
NCR,Growth,IT,Financials,Lead Consultant,364357.6414
ITO,Backfill,IT,Financials,Lead Consultant,1060173.433
HYD,Growth,IT,Financials,Lead Consultant,1109414.04
HYD,Growth,IT,Financials,Lead Consultant,361016.8912
ITO,Backfill,IT,Financials,Lead Consultant,1350707.159
ITO,Growth,IT,Financials,Lead Consultant,636921.8936
HYD,Growth,IT,Force.com Developer,Lead Consultant,448555.3035
HYD,Growth,IT,Hyperion,Lead Consultant,817013.7599
ITO,Growth,IT,Hyperion,Lead Consultant,824006.2323
HYD,Growth,IT,Hyperion EPM/DRM,Lead Consultant,37815.94611
HYD,Growth,IT,Informatica,Lead Consultant,453803.97
HYD,Backfill,IT,J Query,Lead Consultant,645985.6583
NCR,Growth,IT,J2ee,Lead Consultant,207147.6355
NCR,Growth,IT,Java,Lead Consultant,555144.0953
HYD,Backfill,IT,Java WEB,Lead Consultant,739524.5092
HYD,Backfill,IT,OBIEE,Lead Consultant,626587.2339
HYD,Backfill,IT,Oracle Apps + Fusion,Lead Consultant,916624.812
BLR,Growth,IT,Oracle Apps DBA,Lead Consultant,818206.7786
HYD,Backfill,IT,Oracle Apps DBA,Lead Consultant,643536.6621
ITO,Backfill,IT,Oracle Apps DBA,Lead Consultant,918289.3879
ITO,Back Fill,IT,Oracle Apps DBA,Lead Consultant,299052.1666
ITO,Back Fill,IT,Oracle Apps DBA,Lead Consultant,629433.1401
HYD,Growth,IT,Oracle Apps Testing,Lead Consultant,781599.8134
ITO,Back Fill,IT,Oracle DBA,Lead Consultant,167692.9424
ITO,Backfill,IT,Oracle DBA + PT,Lead Consultant,1072519.781
ITO,Back Fill,IT,Oracle DBA + PT,Lead Consultant,954702.6056
NCR,Growth,IT,Performance Testing,Lead Consultant,112427.8924
NCR,Growth,IT,PL/SQL,Lead Consultant,688990.2106
NCR,Growth,Delhi,QA,Lead Consultant,197988.7417
ITO,Growth,IT,Rapid Automation,Lead Consultant,278108.3165
NCR,Backfill,IT,Sales force developer,Lead Consultant,872026.1471
HYD,Growth,IT,SAP ABAP,Lead Consultant,809972.8546
HYD,Growth,IT,SAP BI/BW,Lead Consultant,513540.2454
HYD,Growth,IT,SAP BI/BW,Lead Consultant,1039503.941
HYD,Backfill,IT,SAP BI/BW,Lead Consultant,24639.90744
HYD,Growth,IT,SAP BPC/BPS/BW/BI,Lead Consultant,757620.6304
ITO,Back Fill,IT,SAP BW/BO/HANA,Lead Consultant,353325.2373
HYD,Growth,IT,SAP FICO,Lead Consultant,156869.0434
HYD,Growth,IT,SAP FICO,Lead Consultant,444693.8934
KOL,Growth,IT,SAP FICO,Lead Consultant,487354.9905
HYD,Growth,IT,SAP FICO,Lead Consultant,1089607.582
HYD,Growth,IT,SAP FICO,Lead Consultant,727211.1295
HYD,Growth,IT,SAP FICO,Lead Consultant,377514.1925
HYD,Backfill,IT,SAP FICO,Lead Consultant,333216.3922
KOL,Growth,IT,SAP FICO,Lead Consultant,720182.6026
KOL,Growth,IT,SAP MDG/MDM/ABAP,Lead Consultant,1114381.899
HYD,Growth,IT,SAP SD,Lead Consultant,284990.0169
HYD,Growth,IT,SAP SD,Lead Consultant,175002.8213
HYD,Backfill,IT,SAP SD,Lead Consultant,213561.5486
HYD,Growth,IT,SAP SD,Lead Consultant,291737.8506
HYD,Backfill,IT,SCM,Lead Consultant,544380.6101
ITO,Growth,IT,SCM,Lead Consultant,424217.2446
HYD,Growth,IT,SCM,Lead Consultant,399713.0479
ITO,Growth,IT,SCM,Lead Consultant,1098969.679
NCR,Growth,IT,Share Point,Lead Consultant,205831.9146
NCR,Growth,IT,Share Point Admin,Lead Consultant,460230.0215
HYD,Growth,IT,Spot Fire,Lead Consultant,976134.6379
HYD,Growth,IT,Teradata DBA,Lead Consultant,1098806.81
ITO,Growth,IT,Web Services,Lead Consultant,706013.6532
HYD,Backfill,IT,Windows AD + Exchange,Lead Consultant,351999.0813
BLR,Growth,BPO,Actuarial Modelling,Lead Manager,1274129.675
BLR,Growth,BPO,Actuarial Modelling,Lead Manager,1084399.988
BLR,Growth,BPO,FP&A,Lead Manager,1606668.645
BLR,Growth,BPO,FP&A,Lead Manager,298744.3495
BLR,Growth,BPO,FP&A,Lead Manager,1374611.884
NCR,Growth,BPO,FP&A,Lead Manager,1083585.722
BPM,Growth,BPO,Government Reporting,Lead Manager,1146233.777
NCR,Growth,BPO,Organization Design,Lead Manager,1261457.079
NCR,Growth,BPO,ORM,Lead Manager,161095.615
BLR,Growth,BPO,PC FP&A,Lead Manager,1053491.954
BLR,Growth,BPO,Predictive Modelling,Lead Manager,224536.7116
BPM,Growth,BPO,SEC reporting ,Lead Manager,150442.6592
NCR,Growth,BPO,Taxation,Lead Manager,1692036.371
BLR,Growth,BPO,US GAAP & STAT Reporting,Lead Manager,94023.50975
BLR,Growth,BPO,Actuarial Modelling,Management Trainee,3143.199681
HYD,Growth,BPO,AP,Management Trainee,87977.52282
NCR,Growth,BPO,AP,Management Trainee,225453.6385
KOL,Growth,BPO,AP,Management Trainee,52062.81379
NCR,Growth,Others,AP,Management Trainee,288276.4379
NCR,Backfill,BPO/ITES,AR,Management Trainee,89439.7204
BLR,Growth,BPO,Broker Dealer (L&R),Management Trainee,420783.3632
BPM,Growth,BPO,Broker Dealer (L&R),Management Trainee,434638.0543
NCR,Growth,Banking,Business Banking,Management Trainee,85457.81053
BPM,Bench,IT,Buyer,Management Trainee,168844.3998
NCR,Growth,BFSI,C&R/FR,Management Trainee,175356.8903
JPR,Backfill,BPO,C&R/FR,Management Trainee,100581.014
NCR,Growth,BPO/ITES,C&R/FR,Management Trainee,197537.1713
NCR,Backfill,BPO/ITES,C&R/FR,Management Trainee,96479.58817
NCR,Backfill,CA Firm,C&R/FR,Management Trainee,106098.6471
NCR,Growth,CA Firm,C&R/FR,Management Trainee,297740.2545
NCR,Growth,CA Firm,C&R/FR,Management Trainee,21650.18503
NCR,Backfill,CA Firm,C&R/FR,Management Trainee,194917.1043
NCR,Backfill,Consulting,C&R/FR,Management Trainee,229992.5159
NCR,Backfill,Fresher,C&R/FR,Management Trainee,53708.69694
NCR,Growth,Fresher,C&R/FR,Management Trainee,45275.20619
NCR,Growth,Fresher,C&R/FR,Management Trainee,134753.161
NCR,Backfill,Fresher,C&R/FR,Management Trainee,231323.1575
NCR,Backfill,Fresher,C&R/FR,Management Trainee,145678.8541
NCR,Backfill,Fresher,C&R/FR,Management Trainee,116970.7196
NCR,Growth,ITES,C&R/FR,Management Trainee,264927.3188
NCR,Backfill,BPO,CA Fresher,Management Trainee,16204.90689
NCR,Backfill,BPO,CA Fresher,Management Trainee,113099.5926
JPR,Growth,Finance,Capital Tax & Accounting,Management Trainee,215354.4065
BLR,Growth,BPO,Cash Applications,Management Trainee,60045.60177
HYD,Growth,BPO,Cash Applications,Management Trainee,59939.8678
NCR,Growth,BPO,CAT Modeling,Management Trainee,267051.8463
NCR,Backfill,BPO,CAT Modeling,Management Trainee,65168.05252
HYD,Growth,BPO,Catalog Management,Management Trainee,277531.2685
NCR,Growth,BPO,Collections,Management Trainee,28303.28882
HYD,Growth,BPO,Communication and Employee engagement,Management Trainee,126124.7856
NCR,Growth,BPO,Contract Management,Management Trainee,125653.6435
NCR,Backfill,BPO,Contract Management,Management Trainee,116667.9827
NCR,Growth,BPO,Contract Management,Management Trainee,24911.78558
NCR,Growth,BPO,Contract Management,Management Trainee,381745.6856
BPM,Backfill,ITES/BPO,Contracting,Management Trainee,466186.8231
BPM,Backfill,Fresher,Credit Analysis,Management Trainee,69601.40762
NCR,Growth,Analytics,Custom Declaration,Management Trainee,206492.06
NCR,Growth,Finance,Direct Taxation,Management Trainee,42047.07845
NCR,Growth,BPO,Documentation,Management Trainee,424266.9744
HYD,Backfill,BPO,E Sourcing,Management Trainee,317451.4281
JPR,Backfill,BPO,E sourcing,Management Trainee,173489.8381
BLR,Growth,BPO,EUT-Analytics,Management Trainee,403536.8373
BLR,Growth,BPO,EUT-Analytics,Management Trainee,346595.8452
BLR,Growth,BPO,EUT-Analytics,Management Trainee,621533.4232
BLR,Growth,BPO,EUT-Analytics,Management Trainee,215977.2339
NCR,Growth,Banking,Financial Modeling,Management Trainee,249013.9678
NCR,Backfill,Equty ,Financial Modeling,Management Trainee,134218.1786
NCR,Growth,KPO,Financial Modeling,Management Trainee,316994.0171
NCR,Backfill,KPO,Financial Modeling,Management Trainee,210455.9195
NCR,Backfill,KPO,Financial Modeling,Management Trainee,172649.8144
BPM,Growth,BPO,Financial Reporting,Management Trainee,333266.0545
NCR,Growth,CA Fresher,Financial Reporting,Management Trainee,44359.52194
HYD,Growth,CA Fresher,Financial Reporting,Management Trainee,98881.82018
NCR,Growth,CPG,Financial Reporting,Management Trainee,267228.9297
HYD,Growth,CPG,Financial Reporting,Management Trainee,147986.1095
NCR,Growth,Finance,Financial Reporting,Management Trainee,330643.2597
NCR,Growth,Finance,Financial Reporting,Management Trainee,74208.70616
NCR,Growth,Fresher,Financial Reporting,Management Trainee,84647.21219
BPM,Growth,Fresher,Financial Reporting,Management Trainee,79997.21163
HYD,Growth,IT,Financials,Management Trainee,7983.175392
BPM,Growth,BPO,Fixed Asset Accounting,Management Trainee,153279.0223
HYD,Backfill,BPO,Fixed Assets,Management Trainee,105622.0851
HYD,Growth,BPO,Fixed Assets,Management Trainee,251836.6152
BLR,Growth,Others,Fixed Assets,Management Trainee,309480.0218
BLR,Growth,BFSI,FP&A,Management Trainee,224731.5004
BLR,Growth,BFSI,FP&A,Management Trainee,206888.7906
BLR,Growth,BFSI,FP&A,Management Trainee,35302.29931
BLR,Growth,BPO,FP&A,Management Trainee,257014.0522
BLR,Growth,BPO,FP&A,Management Trainee,172055.0336
BLR,Growth,BPO,FP&A,Management Trainee,246870.7229
NCR,Growth,BPO,FP&A,Management Trainee,361713.9106
NCR,Backfill,BPO,FP&A,Management Trainee,159142.389
BLR,Growth,BPO/ITES,FP&A,Management Trainee,334935.5712
NCR,Growth,Finance,FP&A,Management Trainee,115500.3451
BLR,Growth,Finance,FP&A,Management Trainee,139328.1419
BLR,Growth,Finance,FP&A,Management Trainee,260394.0649
NCR,Backfill,Finance,FP&A,Management Trainee,124430.5369
BLR,Growth,Finance,FP&A,Management Trainee,469445.6802
BPM,Growth,Finance,FP&A,Management Trainee,144362.7793
BLR,Growth,Fresher,FP&A,Management Trainee,101649.5273
NCR,Backfill,Fresher,FP&A,Management Trainee,40374.0074
BPM,Growth,Fresher,FP&A,Management Trainee,18298.23985
BLR,Backfill,ICAI,FP&A,Management Trainee,319660.3463
NCR,Growth,Teaching,French Language,Management Trainee,451639.7879
BPM,Growth,Finance,Fund Accounting,Management Trainee,71713.81849
NCR,Growth,BPO,GA,Management Trainee,258105.4717
JPR,Backfill,BPO,GA,Management Trainee,235178.8902
BLR,Growth,BPO,GA,Management Trainee,201615.3309
BLR,Growth,BPO,GA,Management Trainee,35299.31217
BPM,Backfill,BPO,GA,Management Trainee,17111.60779
NCR,Growth,CA firm,GA,Management Trainee,164427.8276
NCR,Growth,CA firm,GA,Management Trainee,239516.9364
NCR,Backfill,CA Firm,GA,Management Trainee,68126.95079
NCR,Backfill,F&A,GA,Management Trainee,277025.4477
NCR,Growth,F&A,GA,Management Trainee,244307.9923
NCR,Growth,Finance,GA,Management Trainee,38847.32051
NCR,Growth,Finance,GA,Management Trainee,355053.7168
KOL,Backfill,Financial Advisory,GA,Management Trainee,205983.8679
JPR,Backfill,Fresher,GA,Management Trainee,111437.185
NCR,Growth,Fresher,GA,Management Trainee,134270.4596
BPM,Growth,Fresher,GA,Management Trainee,137827.2
BPM,Growth,Fresher,GA,Management Trainee,201022.2047
NCR,Growth,ITES,GA,Management Trainee,289464.146
BPM,Growth,ITES/ BPO/ KPO,GA,Management Trainee,283633.6127
BPM,Growth,ITES/ BPO/ KPO,GA,Management Trainee,273801.9577
BPM,Growth,Logistics,GA,Management Trainee,136262.9352
KOL,Backfill,Management Consulting,GA,Management Trainee,267156.1799
BPM,Growth,BPO,General Accounting - L&R,Management Trainee,93022.56837
BPM,Growth,BPO,General Accounting - L&R,Management Trainee,174071.5636
BPM,Growth,BPO,General Accounting - L&R,Management Trainee,377424.1757
BPM,Growth,BPO,General Ledger,Management Trainee,19036.92501
BPM,Growth,Fresher,General Ledger,Management Trainee,48788.04764
KOL,Growth,BPO,GL,Management Trainee,29665.84458
KOL,Backfill,BPO,GL,Management Trainee,17981.77562
KOL,Backfill,BPO,GL,Management Trainee,304101.6146
NCR,Backfill,BPO,GL,Management Trainee,192065.9892
KOL,Growth,BPO,GL,Management Trainee,87110.75397
KOL,Backfill,CA Firm,GL,Management Trainee,137894.3952
NCR,Backfill,CA Firm,GL,Management Trainee,182089.6987
KOL,Backfill,CA Firm,GL,Management Trainee,354136.1591
KOL,Growth,CA Firm,GL,Management Trainee,97787.83773
NCR,Growth,Finance,GL,Management Trainee,16438.79844
NCR,Growth,Hotel,GL,Management Trainee,170440.8476
KOL,Backfill,Insurance,GL,Management Trainee,263888.4092
KOL,Backfill,Manufacturing,GL,Management Trainee,113437.7487
BLR,Growth,Finance,Government Reporting,Management Trainee,120475.7384
NCR,Growth,Others,Government Reporting,Management Trainee,212961.35
BPM,Backfill,RPO,HR/Hiring/Support,Management Trainee,50800.65274
HYD,Growth,IT,Incident Manager,Management Trainee,190838.9994
NCR,Growth,CA Fresher,Insurance,Management Trainee,65797.8001
NCR,Growth,BPO,Intercompany,Management Trainee,218752.1617
NCR,Growth,CA Fresher,Intercompany,Management Trainee,224151.0582
NCR,Growth,ITES,Internal Audit,Management Trainee,278785.1828
BPM,Backfill,Banking,Investment Banking,Management Trainee,53479.13808
HYD,Growth,BPO,Investment Banking,Management Trainee,133189.5416
BPM,Backfill,BPO,Investment Banking,Management Trainee,158434.6411
NCR,Backfill,ITES,Investment Banking,Management Trainee,187864.3944
NCR,Backfill,ITES,Investment Banking,Management Trainee,112711.0893
NCR,Backfill,BPO,Investment Reporting,Management Trainee,115294.6966
JPR,Growth,BPO,IT-B2P,Management Trainee,384735.4187
JPR,Growth,IT,IT-B2P,Management Trainee,111194.076
BLR,Growth,Finance,KYC,Management Trainee,321390.8391
BLR,Growth,Finance,KYC,Management Trainee,97163.2627
BLR,Growth,Finance,KYC,Management Trainee,64604.43666
NCR,Growth,Banking,KYC Review,Management Trainee,403000.2031
BLR,Growth,BPO,KYC Review,Management Trainee,17311.34899
BLR,Growth,IT,KYC Review,Management Trainee,71361.8186
BLR,Growth,KPO,KYC Review,Management Trainee,82484.14166
BLR,Growth,KPO,KYC Review,Management Trainee,210416.9477
BLR,Growth,BFSI,KYC/AML,Management Trainee,117219.1061
BLR,Growth,BFSI,KYC/AML,Management Trainee,220856.61
BLR,Growth,BFSI,KYC/AML,Management Trainee,195013.2212
NCR,Backfill,BPO,Lease Accounting,Management Trainee,112420.2287
BPM,Backfill,BPO,Logistics,Management Trainee,202762.5648
NCR,Growth,Material Management,MDM and EPT,Management Trainee,25130.68177
NCR,Backfill,Material Management,MDM and EPT,Management Trainee,122541.7237
NCR,Backfill,Material Management,MDM and EPT,Management Trainee,157893.4493
NCR,Growth,MDM,MDM and EPT,Management Trainee,235957.6186
NCR,Growth,ITES,Media Analyst,Management Trainee,284204.1439
HYD,Growth,BPO,Medical Coder,Management Trainee,440177.0657
HYD,Growth,BPO,Medical Coder,Management Trainee,378733.7308
NCR,Growth,Healthcare,Medical Coder,Management Trainee,83537.31065
HYD,Growth,others,Medical Coder,Management Trainee,56384.60429
HYD,Growth,others,Medical Coder,Management Trainee,322894.3663
NCR,Growth,BPO,MIS Reporting,Management Trainee,193476.502
NCR,Growth,Supply Chain Mgmt company,MRO Sourcing,Management Trainee,329810.7063
BPM,Growth,BPO,MRS,Management Trainee,20636.47709
BPM,Growth,BPO,MRS,Management Trainee,147311.3744
BPM,Growth,KPO,MRS,Management Trainee,285294.5047
BPM,Growth,KPO,MRS,Management Trainee,203300.7831
ITO,Growth,IT,Oracle,Management Trainee,619037.8227
NCR,Growth,others,Oracle Apps,Management Trainee,322427.5567
HYD,Growth,BPO,Order Management,Management Trainee,173265.4031
HYD,Growth,BFSI,OTC,Management Trainee,224788.5809
HYD,Backfill,BPO,OTC,Management Trainee,208797.0382
NCR,Growth,BPO,OTC,Management Trainee,386172.5692
BPM,Growth,BPO,OTC,Management Trainee,279092.466
NCR,Growth,BPO/ITES,OTC,Management Trainee,293427.943
HYD,Growth,Finance,OTC,Management Trainee,234100.7186
HYD,Growth,Finance,OTC,Management Trainee,40086.94571
NCR,Growth,Infra & Logistics,OTC,Management Trainee,167249.3674
NCR,Growth,Insurance,P&C Insurance,Management Trainee,270645.9361
HYD,Growth,Insurance,P&C Insurance,Management Trainee,347532.1006
NCR,Growth,BPO,P2P BUYER ,Management Trainee,402825.6736
NCR,Growth,BPO,P2P BUYER ,Management Trainee,8632.090598
NCR,Growth,BPO,P2P BUYER ,Management Trainee,363032.794
NCR,Growth,BPO,P2P BUYER ,Management Trainee,161339.2398
NCR,Growth,BPO,P2P BUYER ,Management Trainee,374426.2945
NCR,Growth,BPO,P2P BUYER ,Management Trainee,118580.5348
NCR,Growth,BPO,P2P BUYER ,Management Trainee,412135.6769
NCR,Growth,BPO,P2P BUYER ,Management Trainee,294087.3785
NCR,Growth,Education,P2P BUYER ,Management Trainee,179143.0153
NCR,Backfill,ITES,P2P BUYER ,Management Trainee,200363.5393
BPM,Growth,ITES,P2P BUYER ,Management Trainee,149878.5884
NCR,Growth,KPO,P2P BUYER ,Management Trainee,75398.10151
NCR,Growth,KPO,P2P BUYER ,Management Trainee,192674.3045
NCR,Growth,KPO,P2P BUYER ,Management Trainee,35632.95036
NCR,Growth,KPO,P2P BUYER ,Management Trainee,249450.6644
BLR,Growth,BPO,Parent Company Accounting ,Management Trainee,82000.63477
HYD,Backfill,Others,Payroll,Management Trainee,71918.53685
BLR,Growth,BPO,PC FP&A,Management Trainee,335903.5115
BLR,Growth,BPO,PC FP&A,Management Trainee,165657.4492
BLR,Growth,BPO,PC FP&A,Management Trainee,258279.6231
HYD,Backfill,IT,PMO Role,Management Trainee,19111.80253
BLR,Growth,BPO,Predictive Modelling,Management Trainee,540742.9407
JPR,Growth,BPO,Premium Audit,Management Trainee,235106.0235
JPR,Growth,Insurance,Premium Audit,Management Trainee,53876.95695
NCR,Growth,BPO/ITES,Procurement,Management Trainee,198237.1824
NCR,Growth,BPO/ITES,Procurement,Management Trainee,310910.7574
BPM,Growth,Procurement,Procurement,Management Trainee,52148.83691
NCR,Growth,SCM,Procurement,Management Trainee,85044.82958
HYD,Growth,BPO,Quality Analyst,Management Trainee,44386.63541
HYD,Growth,Audit Firm,R2R,Management Trainee,150586.5785
HYD,Growth,BPO,R2R,Management Trainee,99710.57863
NCR,Growth,BPO,R2R,Management Trainee,210943.6318
HYD,Growth,BPO,R2R,Management Trainee,21404.35877
NCR,Growth,BPO,R2R,Management Trainee,83626.00195
HYD,Growth,BPO,R2R,Management Trainee,272846.4253
BPM,Backfill,BPO,R2R,Management Trainee,296701.0956
BPM,Growth,BPO,R2R,Management Trainee,348700.692
BPM,Growth,BPO,R2R,Management Trainee,211830.2414
BPM,Backfill,BPO,R2R,Management Trainee,531787.7303
BPM,Growth,BPO,R2R,Management Trainee,367293.612
NCR,Growth,BPO/ITES,R2R,Management Trainee,263493.6027
NCR,Growth,CA Firm,R2R,Management Trainee,255261.7187
HYD,Growth,CA firm,R2R,Management Trainee,125801.4615
NCR,Growth,CA Firm,R2R,Management Trainee,187011.9687
NCR,Growth,CA Firm,R2R,Management Trainee,283575.1269
NCR,Growth,CA Firm,R2R,Management Trainee,52817.74995
BPM,Backfill,CA Firm,R2R,Management Trainee,303210.0679
BPM,Backfill,CA Firm,R2R,Management Trainee,174857.1166
NCR,Growth,CA Fresher,R2R,Management Trainee,144698.9514
BPM,Backfill,Consulting,R2R,Management Trainee,227731.5268
HYD,Growth,Finance,R2R,Management Trainee,196846.8562
NCR,Growth,Finance,R2R,Management Trainee,236194.6223
NCR,Growth,Finance,R2R,Management Trainee,65900.65698
NCR,Growth,Finance,R2R,Management Trainee,187999.6692
BPM,Growth,Finance,R2R,Management Trainee,14025.99579
NCR,Growth,Fresher,R2R,Management Trainee,273646.6646
NCR,Growth,Fresher,R2R,Management Trainee,332115.6519
NCR,Growth,Fresher,R2R,Management Trainee,125263.3816
BLR,Growth,Fresher,R2R,Management Trainee,329762.1131
BLR,Growth,Fresher,R2R,Management Trainee,13738.00103
NCR,Growth,Fresher,R2R,Management Trainee,194735.7862
NCR,Backfill,Fresher,R2R,Management Trainee,159168.6161
NCR,Growth,Fresher,R2R,Management Trainee,275113.1056
KOL,Backfill,Fresher,R2R,Management Trainee,235726.0955
BPM,Backfill,Fresher,R2R,Management Trainee,317376.6423
BPM,Growth,Fresher,R2R,Management Trainee,45245.9559
BPM,Growth,Fresher,R2R,Management Trainee,120002.9744
NCR,Backfill,ICAI,R2R,Management Trainee,68804.9523
BPM,Growth,Indian Company,R2R,Management Trainee,55534.67165
NCR,Backfill,ITES,R2R,Management Trainee,21216.42132
HYD,Growth,ITES,R2R,Management Trainee,287065.1704
NCR,Growth,ITES,R2R,Management Trainee,131444.9838
HYD,Growth,Manufacturing,R2R,Management Trainee,20960.16318
HYD,Growth,Manufacturing,R2R,Management Trainee,181704.7118
JPR,Growth,Non BPO,R2R,Management Trainee,188077.5587
HYD,Growth,Non BPO,R2R,Management Trainee,198609.4858
NCR,Growth,Non BPO,R2R,Management Trainee,84104.73822
BPM,Backfill,Others,R2R,Management Trainee,7644.350615
NCR,Growth,Pharma,R2R,Management Trainee,164132.8207
HYD,Growth,Telecom,R2R,Management Trainee,5397.532076
NCR,Growth,CA Fresher,Re Insurance/ Re Ins Acc,Management Trainee,267836.9468
NCR,Growth,CA Fresher,Re Insurance/ Re Ins Acc,Management Trainee,67922.44798
BLR,Growth,BPO,Reconciliation Management,Management Trainee,232394.9772
BLR,Growth,BPO,Reconciliation Management,Management Trainee,444158.3296
BLR,Growth,BPO,Reconciliation Management,Management Trainee,255247.946
BLR,Growth,BPO,Reconciliation Management,Management Trainee,296940.6689
BPM,Growth,BPO,Reconciliation Management,Management Trainee,574543.344
BPM,Growth,BPO,Reconciliation Management,Management Trainee,432489.4184
